iter	RMSE
554	6.590245398
555	6.589992937
556	6.589971078
557	6.589906101
558	6.589699361
559	6.589697092
560	6.589660471
561	6.589518962
562	6.589487112
563	6.589333352
564	6.589293257
565	6.589254847
566	6.589254288
567	6.589184436
568	6.589107064
569	6.589098161
570	6.589090352
571	6.589005662
572	6.588915532
573	6.588875882
574	6.588844525
575	6.588436974
576	6.588354211
577	6.58823327
578	6.588157609
579	6.588060992
580	6.587976353
581	6.587816853
582	6.587743801
583	6.587593288
584	6.587424236
585	6.587310047
586	6.587069846
587	6.586964725
588	6.586839352
589	6.586669115
590	6.586625806
591	6.586586028
592	6.586517466
593	6.586450434
594	6.586304956
595	6.586261402
596	6.586146398
597	6.586142422
598	6.586109472
599	6.586025613
600	6.5859655
601	6.585947801
602	6.585944803
603	6.585836327
604	6.585743496
605	6.585615591
606	6.585564261
607	6.585481036
608	6.585309322
609	6.585163348
610	6.585084651
611	6.58503871
612	6.584877384
613	6.584739581
614	6.584632679
615	6.584347387
616	6.583989526
617	6.583988516
618	6.583987821
619	6.583894408
620	6.58386785
621	6.583669458
622	6.583530241
623	6.583528153
624	6.583354714
625	6.583301934
626	6.583277046
627	6.58321606
628	6.583205301
629	6.583123476
630	6.583121363
631	6.583105492
632	6.583104233
633	6.583040226
634	6.58301687
635	6.583016593
636	6.582999319
637	6.582704348
638	6.582607291
639	6.582244345
640	6.582234668
641	6.582203147
642	6.582046827
643	6.581872456
644	6.581700242
645	6.581613643
646	6.581611686
647	6.581568641
648	6.581465467
649	6.581454733
650	6.581454068
651	6.581415148
652	6.581413137
653	6.581269054
654	6.581124887
655	6.581081376
656	6.581015044
657	6.580824215
658	6.58067076
659	6.580459466
660	6.580402557
661	6.580393542
662	6.580356299
663	6.580166043
664	6.580164923
665	6.580079971
666	6.579967126
667	6.579814527
668	6.579556705
669	6.579523044
670	6.579345797
671	6.579123129
672	6.579107947
673	6.578947797
674	6.57888182
675	6.578859399
676	6.578848909
677	6.578735556
678	6.578735244
679	6.578494366
680	6.578335637
681	6.578156908
682	6.578033321
683	6.577992388
684	6.57793677
685	6.577688848
686	6.577629596
687	6.577586527
688	6.57738113
689	6.577338775
690	6.577228492
691	6.577123844
692	6.576902341
693	6.576812546
694	6.576645546
695	6.576635951
696	6.576406357
697	6.576374172
698	6.576355931
699	6.576354388
700	6.576342869
701	6.576234908
702	6.576215287
703	6.576178178
704	6.576091186
705	6.575860889
706	6.575810043
707	6.575757837
708	6.57569653
709	6.57568226
710	6.575547909
711	6.575451176
712	6.575444437
713	6.575307316
714	6.57527198
715	6.575022454
716	6.575016951
717	6.574885309
718	6.5747444
719	6.574672317
720	6.574510465
721	6.574437188
722	6.574382208
723	6.574229954
724	6.574109467
725	6.574090311
726	6.573971702
727	6.573950055
728	6.57388711
729	6.573822742
730	6.573789182
731	6.573754996
732	6.573655193
733	6.573646951
734	6.573529999
735	6.573085353
736	6.572939032
737	6.572726855
738	6.572648633
739	6.572646762
740	6.572451559
741	6.572427542
742	6.572408146
743	6.572252442
744	6.572145458
745	6.571973515
746	6.571905549
747	6.571673363
748	6.571450661
749	6.57133406
750	6.571308785
751	6.571188139
752	6.57100888
753	6.570872494
754	6.570617309
755	6.570599983
756	6.570548941
757	6.570491505
758	6.570488829
759	6.570414117
760	6.570344486
761	6.570139245
762	6.570083278
763	6.570008309
764	6.569764983
765	6.56970503
766	6.569588697
767	6.569380077
768	6.569273856
769	6.569218678
770	6.569208999
771	6.569132038
772	6.569002529
773	6.568821669
774	6.568767748
775	6.56876035
776	6.568751981
777	6.568681971
778	6.568596947
779	6.568577333
780	6.568423582
781	6.568322212
782	6.568131194
783	6.567946482
784	6.56789748
785	6.56788109
786	6.56771997
787	6.567667423
788	6.567651197
789	6.567643228
790	6.56755399
791	6.567502454
792	6.567307341
793	6.567247506
794	6.567079492
795	6.566965111
796	6.566740476
797	6.566700361
798	6.566525065
799	6.566500138
800	6.566404853
801	6.566354461
802	6.566203484
803	6.566070865
804	6.566031937
805	6.565864772
806	6.565753579
807	6.565710624
808	6.565652738
809	6.565350512
810	6.565313948
811	6.565194601
812	6.565164095
813	6.565084945
814	6.56503183
815	6.565016638
816	6.564897927
817	6.564829934
818	6.564790056
819	6.564725157
820	6.564669053
821	6.564653803
822	6.56460734
823	6.564538032
824	6.564502038
825	6.564483235
826	6.564353612
827	6.564253421
828	6.564154405
829	6.564058972
830	6.563985389
831	6.563929933
832	6.563912161
833	6.56380851
834	6.563694227
835	6.563646898
836	6.563622433
837	6.563581571
838	6.563567566
839	6.563552062
840	6.563547143
841	6.563518499
842	6.563403878
843	6.563369991
844	6.563287959
845	6.563202792
846	6.563156954
847	6.563146073
848	6.563012527
849	6.562982978
850	6.562846333
851	6.562736182
852	6.56259722
853	6.562596101
854	6.562484312
855	6.562211896
856	6.562103437
857	6.562076597
858	6.562033298
859	6.561827255
860	6.561637533
861	6.561509738
862	6.56145325
863	6.561346739
864	6.561294126
865	6.561131112
866	6.561058706
867	6.560996022
868	6.560946551
869	6.56092341
870	6.560908304
871	6.560816313
872	6.560710087
873	6.560397776
874	6.560339477
875	6.560282563
876	6.560222992
877	6.560172819
878	6.560148816
879	6.560136082
880	6.560042719
881	6.559922376
882	6.55990461
883	6.559815771
884	6.559728378
885	6.559623684
886	6.559577222
887	6.559458844
888	6.559436568
889	6.559421862
890	6.559390021
891	6.55922543
892	6.559187573
893	6.559075131
894	6.558999493
895	6.558998529
896	6.558913627
897	6.558828028
898	6.558777733
899	6.558696025
900	6.558560818
901	6.558530684
902	6.558407123
903	6.558363306
904	6.558311881
905	6.558280107
906	6.558257797
907	6.558088066
908	6.557919255
909	6.557900842
910	6.557834023
911	6.557787162
912	6.557654558
913	6.557646758
914	6.557643002
915	6.557631466
916	6.557585169
917	6.557451602
918	6.557389198
919	6.55724712
920	6.557240215
921	6.557186778
922	6.556986205
923	6.556948139
924	6.556936657
925	6.556847188
926	6.556592396
927	6.556386738
928	6.556275719
929	6.556207535
930	6.556169892
931	6.556169365
932	6.556041469
933	6.555888629
934	6.55588613
935	6.555535824
936	6.555508388
937	6.555424364
938	6.555391256
939	6.555382668
940	6.555293496
941	6.555149059
942	6.555090218
943	6.554939004
944	6.55462844
945	6.554374413
946	6.55430092
947	6.554283291
948	6.554254972
949	6.554191319
950	6.554145936
951	6.554034273
952	6.553912235
953	6.553849157
954	6.553818319
955	6.553816896
956	6.553702157
957	6.553614321
958	6.553490961
959	6.553389566
960	6.553305299
961	6.553261364
962	6.55309732
963	6.552945244
964	6.552927687
965	6.552680718
966	6.552485815
967	6.552447926
968	6.55234396
969	6.552082537
970	6.552039089
971	6.552007693
972	6.551900212
973	6.551850798
974	6.551822904
975	6.551792712
976	6.551782622
977	6.551630026
978	6.551555521
979	6.551374774
980	6.551316429
981	6.551000224
982	6.550928974
983	6.550887922
984	6.550689914
985	6.550640078
986	6.550505315
987	6.550480697
988	6.550412529
989	6.550306494
990	6.550197499
991	6.550095924
992	6.550049459
993	6.549936077
994	6.549797265
995	6.549740991
996	6.549565153
997	6.549229813
998	6.549129384
999	6.548965567
